course_code,course_names,years_seen,grades_seen,semesters_seen,four_year_anchor_years,six_year_anchor_years,grade_1_2_years,four_year_evidence_count,six_year_evidence_count,anchor_generation,evidence_summary
ADA144,신경정신계질환 및 신장질환 약물치료학,2022;2023;2024,5,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA145,호흡기계 및 소화기계 질환 약물치료학,2022;2023;2024;2025,5,1,2022;2023,2025,,2,1,conflict,unique_4year_flowchart_match:2022;2023;unique_6year_flowchart_match:2025
ADA147,감염성 질환 약물치료학,2022;2023;2024;2025,5,2,2022;2023,2025,,2,1,conflict,unique_4year_flowchart_match:2022;2023;unique_6year_flowchart_match:2025
ADA148,내분비계 및 류마티스 질환 약물치료학,2022;2023;2024;2025,5,2,2022;2023,2025,,2,1,conflict,unique_4year_flowchart_match:2022;2023;unique_6year_flowchart_match:2025
ADA150,임상약물동태학,2022;2023;2024,5,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA167,약전 및 품질관리학,2022;2023;2024;2025,5,2,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA171,의약품제조관리학,2022;2023;2024;2025,5,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA174,약무행정실무필수실습,2022;2023;2024;2025,5,2,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA181,의약분자생물학,2022;2023;2024,3,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA182,건강기능식품학,2022;2023;2024,4;5,1;2,,2024,,0,1,six_year,unique_6year_flowchart_match:2024
ADA183,임상생화학,2022;2023;2024,4,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA184,약학실험 3,2022;2023;2024,4,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA186,제제과학 1,2022;2023;2024,4,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA187,제제과학 2,2022;2023;2024,4,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA189,바이러스학,2022;2023;2024,3,2,2022,,,1,0,four_year,unique_4year_flowchart_match:2022
ADA190,임상면역학,2022;2023;2024;2025,5,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA191,신약개발임상시험,2022;2023;2024,5,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA192,약학실험 4,2022;2023;2024,4,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA193,보건사회약학,2022;2023;2024,4,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA194,보건의약관계법규,2022;2023;2024;2025,5,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA195,약학실험 2,2022;2023;2024,3,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA196,약품기기분석학,2022;2023;2024,3,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA197,의약품설계학,2022;2023;2024,3,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA198,의약품합성학,2022;2023;2024;2025,3,2,2022;2023,2024;2025,,2,2,conflict,unique_4year_flowchart_match:2022;2023;unique_6year_flowchart_match:2024;2025
ADA199,무기 및 방사성 의약품학,2022;2023;2024,3,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA200,제제과학실습,2022;2023;2024;2025,5,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA201,약학실험 1,2022;2023;2024,3,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA202,항암약물요법 및 일반의약품약물요법,2022;2023;2024,5,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA203,약용식물학,2022;2023;2024,3;4,1;2,2022,,,1,0,four_year,unique_4year_flowchart_match:2022
ADA204,의약정보학과 커뮤니케이션,2022;2023;2024,4,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA206,의약품 경제성평가,2022;2023;2024;2025,5,1,2022;2023,2025,,2,1,conflict,unique_4year_flowchart_match:2022;2023;unique_6year_flowchart_match:2025
ADA208,감염미생물학,2022;2023;2024,4,2,,,,0,0,unresolved,
ADA209,감염질환을 위한 항생물질학,2022;2023;2024;2025,5,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA211,임상미생물학,2022;2023;2024,5,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA212,약사윤리와 진로 적응,2022;2023;2024,3,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA213,의료기관약국 필수실무실습 1,2022;2023;2024;2025,6,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA214,의료기관약국 필수실무실습 2,2022;2023;2024;2025,6,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA215,의료기관약국 필수실무실습 3,2022;2023;2024;2025,6,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA216,의료기관약국 필수실무실습 4,2022;2023;2024;2025,6,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA217,의료기관약국 예비실무실습,2022;2023;2024;2025,5,1,2022;2023,2025,,2,1,conflict,unique_4year_flowchart_match:2022;2023;unique_6year_flowchart_match:2025
ADA218,제약산업 필수실무실습,2022;2023;2024;2025,6,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA219,지역약국 필수실무실습 1,2022;2023;2024;2025,6,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA220,지역약국 필수실무실습 2,2022;2023;2024;2025,6,2,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA223,상담지도 1,2022,3,1,,,,0,0,unresolved,
ADA224,상담지도 II,2022,3,2,,,,0,0,unresolved,
