entry_year,status,course_name,normalized_course_name,baseline_grade,baseline_semester,baseline_course_code,baseline_completion_type,baseline_credits,flowchart_grade,flowchart_semester,flowchart_course_name,reason
2023,MATCH,약업경영학,약업경영학,5,1,ADB074,전선,2,5,1,약업경영학,same_name_same_position
2023,MATCH,의약정보학과 경제성평가,의약정보학과경제성평가,5,1,ADB073,전필,2,5,1,의약정보학과 경제성평가,same_name_same_position
2023,MATCH,의약품제조관리학,의약품제조관리학,5,1,ADA171,전선,3,5,1,의약품제조관리학,same_name_same_position
2023,MATCH,지역약국 예비실무실습,지역약국예비실무실습,5,1,ADA115,전필,2,5,1,지역약국예비실무실습,same_name_same_position
2023,MATCH,항암약물요법,항암약물요법,5,1,ADB070,전필,2,5,1,항암약물요법,same_name_same_position
2023,MATCH,신약개발정보학,신약개발정보학,5,2,ADB090,전선,2,5,2,신약개발정보학,same_name_same_position
2023,MATCH,약무행정실무필수실습,약무행정실무필수실습,5,2,ADA174,전필,1,5,2,약무행정실무필수실습,same_name_same_position
2023,MATCH,약물유전체학,약물유전체학,5,2,ADB085,전선,3,5,2,약물유전체학,same_name_same_position
2023,MATCH,약전 및 품질관리학,약전및품질관리학,5,2,ADA167,전선,3,5,2,약전 및 품질관리학,same_name_same_position
2023,MATCH,의료기관약국예비실습,의료기관약국예비실습,5,2,ADB086,전필,2,5,2,의료기관약국예비실습,same_name_same_position
2023,MATCH,의약품허가,의약품허가,5,2,ADB088,전선,3,5,2,의약품허가,same_name_same_position
2023,MATCH,임상약학 해설,임상약학해설,5,2,ADB083,전필,1,5,2,임상약학해설,same_name_same_position
2023,MATCH,한약제제학,한약제제학,5,2,ADA140,전필,2,5,2,한약제제학,same_name_same_position
2023,MATCH,의료기관약국 필수실무실습 1,의료기관약국필수실무실습1,6,1,ADA213,전필,3,6,1,의료기관약국필수실무실습1,same_name_same_position
2023,MATCH,의료기관약국 필수실무실습 2,의료기관약국필수실무실습2,6,1,ADA214,전필,2,6,1,의료기관약국필수실무실습2,same_name_same_position
2023,MATCH,의료기관약국 필수실무실습 3,의료기관약국필수실무실습3,6,1,ADA215,전필,3,6,1,의료기관약국필수실무실습3,same_name_same_position
2023,MATCH,의료기관약국 필수실무실습 4,의료기관약국필수실무실습4,6,1,ADA216,전필,2,6,1,의료기관약국필수실무실습4,same_name_same_position
2023,MATCH,제약산업 필수실무실습,제약산업필수실무실습,6,1,ADA218,전필,2,6,1,제약산업필수실무실습,same_name_same_position
2023,MATCH,지역약국 필수실무실습 1,지역약국필수실무실습1,6,1,ADA219,전필,2,6,1,지역약국필수실무실습1,same_name_same_position
2023,MATCH,심화실습 1,심화실습1,6,2,ADA226,전필,5,6,2,심화실습 1,same_name_same_position
2023,MATCH,심화실습 2,심화실습2,6,2,ADA227,전필,5,6,2,심화실습 2,same_name_same_position
2023,MATCH,지역약국 필수실무실습 2,지역약국필수실무실습2,6,2,ADA220,전필,3,6,2,지역약국필수실무실습2,same_name_same_position
2024,FLOWCHART_ONLY,나노약학,나노약학,,,,,,4,1,나노약학,6year_flowchart_course_not_present_in_baseline
2024,FLOWCHART_ONLY,내분비계 및 류마터스질환 약물치료학,내분비계및류마터스질환약물치료학,,,,,,4,1,내분비계 및 류마터스질환 약물치료학,6year_flowchart_course_not_present_in_baseline
2024,FLOWCHART_ONLY,방제학,방제학,,,,,,4,1,방제학,6year_flowchart_course_not_present_in_baseline
2024,FLOWCHART_ONLY,향장품학,향장품학,,,,,,4,1,향장품학,6year_flowchart_course_not_present_in_baseline
2024,FLOWCHART_ONLY,심혈관계질환 및 약물치료학,심혈관계질환및약물치료학,,,,,,4,2,심혈관계질환 및 약물치료학,6year_flowchart_course_not_present_in_baseline
2024,FLOWCHART_ONLY,동물용의약품학,동물용의약품학,,,,,,5,2,동물용의약품학,6year_flowchart_course_not_present_in_baseline
2024,POSITION_MISMATCH,조제학,조제학,2,2,ADB077,전선,3,4,1,조제학,same_name_different_position
2024,POSITION_MISMATCH,종양생물학,종양생물학,2,2,ADB091,전선,2,5,2,종양생물학,same_name_different_position
2024,BASELINE_ONLY,해부생리학,해부생리학,1,1,ADB001,전선,3,,,,course_not_present_in_6year_flowchart
2024,BASELINE_ONLY,신경생리학,신경생리학,1,2,ADB004,전선,1,,,,course_not_present_in_6year_flowchart
2024,BASELINE_ONLY,AI 의료약학빅데이터,AI의료약학빅데이터,4,1,ADB053,전선,2,,,,course_not_present_in_6year_flowchart
2024,BASELINE_ONLY,내분비계 및 류마티스 질환 약물치료,내분비계및류마티스질환약물치료,4,1,ADB063,전선,2,,,,course_not_present_in_6year_flowchart
2024,BASELINE_ONLY,무기방사성 의약품학,무기방사성의약품학,4,1,ADB052,전선,2,,,,course_not_present_in_6year_flowchart
2024,BASELINE_ONLY,약학실험5,약학실험5,4,2,ADB067,전필,1,,,,course_not_present_in_6year_flowchart
2024,BASELINE_ONLY,신경정신계 및 신장 질환 약물치료학,신경정신계및신장질환약물치료학,5,1,ADB062,전필,3,,,,course_not_present_in_6year_flowchart
2024,BASELINE_ONLY,심혈관계 질환 약물치료학,심혈관계질환약물치료학,5,2,ADB082,전선,3,,,,course_not_present_in_6year_flowchart
2024,MATCH,약학기초생물학1,약학기초생물학1,1,1,ADB002,전선,3,1,1,약학기초생물학1,same_name_same_position
2024,MATCH,약학기초화학1,약학기초화학1,1,1,ADB003,전선,3,1,1,약학기초화학1,same_name_same_position
2024,MATCH,해부생리학1,해부생리학1,1,1,ADB101,전선,2,1,1,해부생리학1,same_name_same_position
